Parameters for cropping eye images
Name of the iris sample, iris x-coordinate, iris y-coordinate, iris radius
u028_s02_iris_ds2-lg-0l_01.bmp,253,374,112
u028_s02_iris_ds2-lg-0l_02.bmp,260,294,113
u028_s01_iris_ds2-lg-0r_01.bmp,292,295,110
u028_s01_iris_ds2-lg-0r_02.bmp,302,340,107
u028_s02_iris_ds2-lg-0r_01.bmp,253,309,110
u028_s02_iris_ds2-lg-0r_02.bmp,227,387,107
u029_s01_iris_ds2-lg-0l_01.bmp,231,302,118
u029_s01_iris_ds2-lg-0l_02.bmp,253,294,118
u029_s02_iris_ds2-lg-0l_01.bmp,277,311,112
u029_s02_iris_ds2-lg-0l_02.bmp,292,285,113
u029_s01_iris_ds2-lg-0r_01.bmp,242,335,115
u029_s01_iris_ds2-lg-0r_02.bmp,248,333,113
u029_s02_iris_ds2-lg-0r_01.bmp,279,336,118
u029_s02_iris_ds2-lg-0r_02.bmp,260,350,122
u030_s01_iris_ds2-lg-0l_01.bmp,292,331,115
u030_s01_iris_ds2-lg-0l_02.bmp,272,373,115
u030_s02_iris_ds2-lg-0l_01.bmp,236,480,108
u030_s02_iris_ds2-lg-0l_02.bmp,312,471,108
u030_s01_iris_ds2-lg-0r_01.bmp,320,310,108
u030_s01_iris_ds2-lg-0r_02.bmp,307,320,110
u030_s02_iris_ds2-lg-0r_01.bmp,325,332,107
u030_s02_iris_ds2-lg-0r_02.bmp,305,322,107
u031_s01_iris_ds2-lg-0l_01.bmp,255,347,108
u031_s01_iris_ds2-lg-0l_02.bmp,248,320,110
u031_s02_iris_ds2-lg-0l_01.bmp,298,335,108
u031_s02_iris_ds2-lg-0l_02.bmp,285,327,112
u031_s01_iris_ds2-lg-0r_01.bmp,275,320,107
u031_s01_iris_ds2-lg-0r_02.bmp,255,314,105
u031_s02_iris_ds2-lg-0r_01.bmp,280,329,103
u031_s02_iris_ds2-lg-0r_02.bmp,285,336,105
u032_s01_iris_ds2-lg-0l_01.bmp,272,254,113
u032_s01_iris_ds2-lg-0l_02.bmp,246,220,112
u032_s02_iris_ds2-lg-0l_01.bmp,254,305,108
u032_s02_iris_ds2-lg-0l_02.bmp,255,367,108
u032_s01_iris_ds2-lg-0r_01.bmp,253,333,113
u032_s01_iris_ds2-lg-0r_02.bmp,247,293,110
u032_s02_iris_ds2-lg-0r_01.bmp,243,291,110
u032_s02_iris_ds2-lg-0r_02.bmp,283,290,113
u033_s01_iris_ds2-lg-0l_01.bmp,254,321,110
u033_s01_iris_ds2-lg-0l_02.bmp,259,310,107
u033_s02_iris_ds2-lg-0l_01.bmp,285,323,107
u033_s02_iris_ds2-lg-0l_02.bmp,263,326,112
u033_s01_iris_ds2-lg-0r_01.bmp,222,320,103
u033_s01_iris_ds2-lg-0r_02.bmp,253,315,105
u033_s02_iris_ds2-lg-0r_01.bmp,263,345,102
u033_s02_iris_ds2-lg-0r_02.bmp,263,310,103
u034_s01_iris_ds2-lg-0l_01.bmp,250,342,110
u034_s01_iris_ds2-lg-0l_02.bmp,202,270,107
u034_s02_iris_ds2-lg-0l_01.bmp,237,273,113
u034_s02_iris_ds2-lg-0l_02.bmp,245,284,112
u034_s01_iris_ds2-lg-0r_01.bmp,225,273,115
u034_s01_iris_ds2-lg-0r_02.bmp,263,245,108
u034_s02_iris_ds2-lg-0r_01.bmp,223,310,110
u034_s02_iris_ds2-lg-0r_02.bmp,232,263,110
u035_s01_iris_ds2-lg-0l_01.bmp,300,353,115
u035_s01_iris_ds2-lg-0l_02.bmp,267,343,117
u035_s02_iris_ds2-lg-0l_01.bmp,278,322,113
u035_s02_iris_ds2-lg-0l_02.bmp,290,363,112
u035_s01_iris_ds2-lg-0r_01.bmp,283,335,110
u035_s01_iris_ds2-lg-0r_02.bmp,276,319,110
u035_s02_iris_ds2-lg-0r_01.bmp,280,336,112
u035_s02_iris_ds2-lg-0r_02.bmp,250,332,112
u036_s01_iris_ds2-lg-0l_01.bmp,326,370,118
u036_s01_iris_ds2-lg-0l_02.bmp,281,362,118
u036_s02_iris_ds2-lg-0l_01.bmp,232,494,113
u036_s02_iris_ds2-lg-0l_02.bmp,294,350,120
u036_s01_iris_ds2-lg-0r_01.bmp,265,362,117
u036_s01_iris_ds2-lg-0r_02.bmp,293,292,120
u036_s02_iris_ds2-lg-0r_01.bmp,298,345,117
u036_s02_iris_ds2-lg-0r_02.bmp,267,279,117
u037_s01_iris_ds2-lg-0l_01.bmp,239,338,108
u037_s01_iris_ds2-lg-0l_02.bmp,258,318,110
u037_s02_iris_ds2-lg-0l_01.bmp,281,318,112
u037_s02_iris_ds2-lg-0l_02.bmp,279,348,112
u037_s01_iris_ds2-lg-0r_01.bmp,257,318,110
u037_s01_iris_ds2-lg-0r_02.bmp,268,333,108
u037_s02_iris_ds2-lg-0r_01.bmp,258,318,112
u037_s02_iris_ds2-lg-0r_02.bmp,278,331,110
u038_s01_iris_ds2-lg-0l_01.bmp,193,318,112
u038_s01_iris_ds2-lg-0l_02.bmp,185,305,108
u038_s02_iris_ds2-lg-0l_01.bmp,278,335,110
u038_s02_iris_ds2-lg-0l_02.bmp,267,367,110
u038_s01_iris_ds2-lg-0r_01.bmp,200,362,118
u038_s01_iris_ds2-lg-0r_02.bmp,147,402,108
u038_s02_iris_ds2-lg-0r_01.bmp,268,282,110
u038_s02_iris_ds2-lg-0r_02.bmp,202,340,110
u039_s01_iris_ds2-lg-0l_01.bmp,258,382,120
u039_s01_iris_ds2-lg-0l_02.bmp,262,353,115
u039_s02_iris_ds2-lg-0l_01.bmp,253,350,115
u039_s02_iris_ds2-lg-0l_02.bmp,258,325,113
u039_s01_iris_ds2-lg-0r_01.bmp,275,277,112
u039_s01_iris_ds2-lg-0r_02.bmp,243,317,110
u039_s02_iris_ds2-lg-0r_01.bmp,280,327,110
u039_s02_iris_ds2-lg-0r_02.bmp,260,315,113
u041_s01_iris_ds2-lg-0l_01.bmp,266,330,125
u041_s01_iris_ds2-lg-0l_02.bmp,263,349,112
u041_s02_iris_ds2-lg-0l_01.bmp,275,352,110
u041_s02_iris_ds2-lg-0l_02.bmp,265,362,113
u041_s01_iris_ds2-lg-0r_01.bmp,266,340,108
u041_s01_iris_ds2-lg-0r_02.bmp,273,365,108
u041_s02_iris_ds2-lg-0r_01.bmp,270,345,108
u041_s02_iris_ds2-lg-0r_02.bmp,273,335,108
u042_s01_iris_ds2-lg-0l_01.bmp,323,253,112
u042_s01_iris_ds2-lg-0l_02.bmp,282,328,113
u042_s02_iris_ds2-lg-0l_01.bmp,296,255,112
u042_s02_iris_ds2-lg-0l_02.bmp,303,321,112
u042_s01_iris_ds2-lg-0r_01.bmp,223,255,112
u042_s01_iris_ds2-lg-0r_02.bmp,291,291,113
u042_s02_iris_ds2-lg-0r_01.bmp,257,235,107
u042_s02_iris_ds2-lg-0r_02.bmp,268,218,108
u043_s01_iris_ds2-lg-0l_01.bmp,193,318,125
u043_s01_iris_ds2-lg-0l_02.bmp,195,325,123
u043_s02_iris_ds2-lg-0l_01.bmp,251,342,125
u043_s02_iris_ds2-lg-0l_02.bmp,227,357,118
u043_s01_iris_ds2-lg-0r_01.bmp,245,305,120
u043_s01_iris_ds2-lg-0r_02.bmp,224,302,118
u043_s02_iris_ds2-lg-0r_01.bmp,311,332,122
u043_s02_iris_ds2-lg-0r_02.bmp,235,315,122
u044_s01_iris_ds2-lg-0l_01.bmp,290,283,118
u044_s01_iris_ds2-lg-0l_02.bmp,240,322,120
u044_s02_iris_ds2-lg-0l_01.bmp,247,310,117
u044_s02_iris_ds2-lg-0l_02.bmp,252,323,115
u044_s01_iris_ds2-lg-0r_01.bmp,277,299,118
u044_s01_iris_ds2-lg-0r_02.bmp,227,285,117
u044_s02_iris_ds2-lg-0r_01.bmp,258,337,112
u044_s02_iris_ds2-lg-0r_02.bmp,247,317,112
u045_s01_iris_ds2-lg-0l_01.bmp,231,353,108
u045_s01_iris_ds2-lg-0l_02.bmp,215,326,108
u045_s02_iris_ds2-lg-0l_01.bmp,276,315,107
u045_s02_iris_ds2-lg-0l_02.bmp,247,335,107
u045_s01_iris_ds2-lg-0r_01.bmp,260,330,105
u045_s01_iris_ds2-lg-0r_02.bmp,245,330,107
u045_s02_iris_ds2-lg-0r_01.bmp,287,373,100
u045_s02_iris_ds2-lg-0r_02.bmp,243,350,103
u046_s01_iris_ds2-lg-0l_01.bmp,285,188,118
u046_s01_iris_ds2-lg-0l_02.bmp,330,340,118
u046_s02_iris_ds2-lg-0l_01.bmp,330,272,118
u046_s02_iris_ds2-lg-0l_02.bmp,295,278,112
u046_s01_iris_ds2-lg-0r_01.bmp,277,343,118
u046_s01_iris_ds2-lg-0r_02.bmp,278,280,117
u046_s02_iris_ds2-lg-0r_01.bmp,294,285,113
u046_s02_iris_ds2-lg-0r_02.bmp,287,360,110
u047_s01_iris_ds2-lg-0l_01.bmp,276,349,110
u047_s01_iris_ds2-lg-0l_02.bmp,288,373,108
u047_s02_iris_ds2-lg-0l_01.bmp,295,322,115
u047_s02_iris_ds2-lg-0l_02.bmp,307,331,113
u047_s01_iris_ds2-lg-0r_01.bmp,265,337,110
u047_s01_iris_ds2-lg-0r_02.bmp,278,381,108
u047_s02_iris_ds2-lg-0r_01.bmp,288,338,110
u047_s02_iris_ds2-lg-0r_02.bmp,297,366,108
u048_s01_iris_ds2-lg-0l_01.bmp,270,357,115
u048_s01_iris_ds2-lg-0l_02.bmp,270,355,115
u048_s02_iris_ds2-lg-0l_01.bmp,262,347,110
u048_s02_iris_ds2-lg-0l_02.bmp,273,342,110
u048_s01_iris_ds2-lg-0r_01.bmp,243,346,112
u048_s01_iris_ds2-lg-0r_02.bmp,292,327,107
u048_s02_iris_ds2-lg-0r_01.bmp,280,332,108
u048_s02_iris_ds2-lg-0r_02.bmp,278,315,108
u049_s01_iris_ds2-lg-0l_01.bmp,251,311,112
u049_s01_iris_ds2-lg-0l_02.bmp,305,305,112
u049_s02_iris_ds2-lg-0l_01.bmp,270,280,110
u049_s02_iris_ds2-lg-0l_02.bmp,257,320,113
u049_s01_iris_ds2-lg-0r_01.bmp,270,357,112
u049_s01_iris_ds2-lg-0r_02.bmp,260,360,108
u049_s02_iris_ds2-lg-0r_01.bmp,310,335,112
u049_s02_iris_ds2-lg-0r_02.bmp,280,285,110
u050_s01_iris_ds2-lg-0l_01.bmp,203,301,110
u050_s01_iris_ds2-lg-0l_02.bmp,237,255,107
u050_s02_iris_ds2-lg-0l_01.bmp,260,301,108
u050_s02_iris_ds2-lg-0l_02.bmp,272,295,107
u050_s01_iris_ds2-lg-0r_01.bmp,250,315,105
u050_s01_iris_ds2-lg-0r_02.bmp,220,277,105
u050_s02_iris_ds2-lg-0r_01.bmp,252,283,103
u050_s02_iris_ds2-lg-0r_02.bmp,249,362,103
u051_s01_iris_ds2-lg-0l_01.bmp,281,314,110
u051_s01_iris_ds2-lg-0l_02.bmp,263,342,112
u051_s02_iris_ds2-lg-0l_01.bmp,275,345,108
u051_s02_iris_ds2-lg-0l_02.bmp,307,337,115
u051_s01_iris_ds2-lg-0r_01.bmp,272,370,117
u051_s01_iris_ds2-lg-0r_02.bmp,280,352,113
u051_s02_iris_ds2-lg-0r_01.bmp,233,333,108
u051_s02_iris_ds2-lg-0r_02.bmp,243,335,107
u052_s01_iris_ds2-lg-0l_01.bmp,290,335,113
u052_s01_iris_ds2-lg-0l_02.bmp,303,350,113
u052_s02_iris_ds2-lg-0l_01.bmp,258,335,110
u052_s02_iris_ds2-lg-0l_02.bmp,248,352,110
u052_s01_iris_ds2-lg-0r_01.bmp,288,324,105
u052_s01_iris_ds2-lg-0r_02.bmp,288,317,103
u052_s02_iris_ds2-lg-0r_01.bmp,200,347,107
u052_s02_iris_ds2-lg-0r_02.bmp,220,277,108
u053_s01_iris_ds2-lg-0l_01.bmp,287,325,118
u053_s01_iris_ds2-lg-0l_02.bmp,284,337,117
u053_s02_iris_ds2-lg-0l_01.bmp,300,338,113
u053_s02_iris_ds2-lg-0l_02.bmp,288,350,113
u053_s01_iris_ds2-lg-0r_01.bmp,273,343,118
u053_s01_iris_ds2-lg-0r_02.bmp,287,328,113
u053_s02_iris_ds2-lg-0r_01.bmp,270,343,110
u053_s02_iris_ds2-lg-0r_02.bmp,275,332,110
u054_s01_iris_ds2-lg-0l_01.bmp,213,288,118
u054_s01_iris_ds2-lg-0l_02.bmp,280,334,120
u054_s02_iris_ds2-lg-0l_01.bmp,302,308,118
u054_s02_iris_ds2-lg-0l_02.bmp,272,460,115
u054_s01_iris_ds2-lg-0r_01.bmp,270,298,117
u054_s01_iris_ds2-lg-0r_02.bmp,235,253,127
u054_s02_iris_ds2-lg-0r_01.bmp,251,305,122
u054_s02_iris_ds2-lg-0r_02.bmp,312,272,123
u055_s01_iris_ds2-lg-0l_01.bmp,228,315,112
u055_s01_iris_ds2-lg-0l_02.bmp,217,327,110
u055_s02_iris_ds2-lg-0l_01.bmp,285,303,105
u055_s02_iris_ds2-lg-0l_02.bmp,237,290,108
u055_s01_iris_ds2-lg-0r_01.bmp,221,324,108
u055_s01_iris_ds2-lg-0r_02.bmp,223,295,107
u055_s02_iris_ds2-lg-0r_01.bmp,236,320,107
u055_s02_iris_ds2-lg-0r_02.bmp,255,285,108
u056_s01_iris_ds2-lg-0l_01.bmp,283,260,103
u056_s01_iris_ds2-lg-0l_02.bmp,293,204,112
u056_s02_iris_ds2-lg-0l_01.bmp,276,253,105
u056_s02_iris_ds2-lg-0l_02.bmp,271,268,105
u056_s01_iris_ds2-lg-0r_01.bmp,325,372,107
u056_s01_iris_ds2-lg-0r_02.bmp,291,304,108
u056_s02_iris_ds2-lg-0r_01.bmp,296,268,103
u056_s02_iris_ds2-lg-0r_02.bmp,252,277,100
u057_s01_iris_ds2-lg-0l_01.bmp,283,301,118
u057_s01_iris_ds2-lg-0l_02.bmp,249,330,117
u057_s02_iris_ds2-lg-0l_01.bmp,255,335,115
u057_s02_iris_ds2-lg-0l_02.bmp,285,338,117
u057_s01_iris_ds2-lg-0r_01.bmp,305,346,115
u057_s01_iris_ds2-lg-0r_02.bmp,271,353,115
u057_s02_iris_ds2-lg-0r_01.bmp,250,301,117
u057_s02_iris_ds2-lg-0r_02.bmp,239,335,110
u058_s01_iris_ds2-lg-0l_01.bmp,226,367,117
u058_s01_iris_ds2-lg-0l_02.bmp,254,378,112
u058_s02_iris_ds2-lg-0l_01.bmp,276,348,112
u058_s02_iris_ds2-lg-0l_02.bmp,263,345,115
u058_s01_iris_ds2-lg-0r_01.bmp,240,300,112
u058_s01_iris_ds2-lg-0r_02.bmp,283,321,115
u058_s02_iris_ds2-lg-0r_01.bmp,280,315,113
u058_s02_iris_ds2-lg-0r_02.bmp,260,306,113
